epoch 0/200,training loss:0.690361,validation loss:0.688629
epoch 1/200,training loss:0.686936,validation loss:0.685410
epoch 2/200,training loss:0.683557,validation loss:0.681752
epoch 3/200,training loss:0.679633,validation loss:0.677441
epoch 4/200,training loss:0.675014,validation loss:0.672460
epoch 5/200,training loss:0.669698,validation loss:0.667013
epoch 6/200,training loss:0.664422,validation loss:0.661668
epoch 7/200,training loss:0.659412,validation loss:0.657378
epoch 8/200,training loss:0.655467,validation loss:0.653831
epoch 9/200,training loss:0.652291,validation loss:0.650947
epoch 10/200,training loss:0.649848,validation loss:0.648586
epoch 11/200,training loss:0.647994,validation loss:0.647139
epoch 12/200,training loss:0.646513,validation loss:0.645695
epoch 13/200,training loss:0.645108,validation loss:0.644679
epoch 14/200,training loss:0.644106,validation loss:0.643766
epoch 15/200,training loss:0.643252,validation loss:0.642713
epoch 16/200,training loss:0.642522,validation loss:0.641773
epoch 17/200,training loss:0.641673,validation loss:0.641420
epoch 18/200,training loss:0.641249,validation loss:0.640952
epoch 19/200,training loss:0.640628,validation loss:0.640380
epoch 20/200,training loss:0.640086,validation loss:0.640267
epoch 21/200,training loss:0.639736,validation loss:0.639666
epoch 22/200,training loss:0.639506,validation loss:0.639490
epoch 23/200,training loss:0.639124,validation loss:0.639079
epoch 24/200,training loss:0.638589,validation loss:0.638611
epoch 25/200,training loss:0.638458,validation loss:0.638348
epoch 26/200,training loss:0.637984,validation loss:0.638049
epoch 27/200,training loss:0.637713,validation loss:0.638001
epoch 28/200,training loss:0.637713,validation loss:0.637910
epoch 29/200,training loss:0.637328,validation loss:0.637408
epoch 30/200,training loss:0.637090,validation loss:0.637256
epoch 31/200,training loss:0.636965,validation loss:0.636995
epoch 32/200,training loss:0.636899,validation loss:0.636936
epoch 33/200,training loss:0.636679,validation loss:0.636795
epoch 34/200,training loss:0.636317,validation loss:0.636417
epoch 35/200,training loss:0.636110,validation loss:0.636301
epoch 36/200,training loss:0.635890,validation loss:0.636259
epoch 37/200,training loss:0.635907,validation loss:0.635986
epoch 38/200,training loss:0.635836,validation loss:0.635761
epoch 39/200,training loss:0.635526,validation loss:0.635781
epoch 40/200,training loss:0.635376,validation loss:0.635539
epoch 41/200,training loss:0.635366,validation loss:0.635566
epoch 42/200,training loss:0.635268,validation loss:0.635430
epoch 43/200,training loss:0.635214,validation loss:0.635161
epoch 44/200,training loss:0.634838,validation loss:0.635239
epoch 45/200,training loss:0.635039,validation loss:0.635020
epoch 46/200,training loss:0.634815,validation loss:0.635081
epoch 47/200,training loss:0.634786,validation loss:0.635153
epoch 48/200,training loss:0.634729,validation loss:0.634836
epoch 49/200,training loss:0.634400,validation loss:0.634716
epoch 50/200,training loss:0.634482,validation loss:0.634917
epoch 51/200,training loss:0.634264,validation loss:0.634711
epoch 52/200,training loss:0.634265,validation loss:0.634732
epoch 53/200,training loss:0.634281,validation loss:0.634472
epoch 54/200,training loss:0.634169,validation loss:0.634244
epoch 55/200,training loss:0.634031,validation loss:0.634675
epoch 56/200,training loss:0.634055,validation loss:0.634353
epoch 57/200,training loss:0.633748,validation loss:0.634219
epoch 58/200,training loss:0.633831,validation loss:0.634146
epoch 59/200,training loss:0.633717,validation loss:0.633927
epoch 60/200,training loss:0.633695,validation loss:0.634166
epoch 61/200,training loss:0.633731,validation loss:0.633671
epoch 62/200,training loss:0.633695,validation loss:0.633844
epoch 63/200,training loss:0.633549,validation loss:0.633902
epoch 64/200,training loss:0.633488,validation loss:0.633984
epoch 65/200,training loss:0.633347,validation loss:0.633732
epoch 66/200,training loss:0.633286,validation loss:0.633841
epoch 67/200,training loss:0.633174,validation loss:0.633401
epoch 68/200,training loss:0.633240,validation loss:0.633591
epoch 69/200,training loss:0.633036,validation loss:0.633625
epoch 70/200,training loss:0.633162,validation loss:0.633200
epoch 71/200,training loss:0.633110,validation loss:0.633628
epoch 72/200,training loss:0.633180,validation loss:0.633542
epoch 73/200,training loss:0.632828,validation loss:0.633243
epoch 74/200,training loss:0.632748,validation loss:0.633301
epoch 75/200,training loss:0.632844,validation loss:0.633418
epoch 76/200,training loss:0.632667,validation loss:0.633384
epoch 77/200,training loss:0.632779,validation loss:0.633386
epoch 78/200,training loss:0.632602,validation loss:0.633365
epoch 79/200,training loss:0.632549,validation loss:0.633142
epoch 80/200,training loss:0.632492,validation loss:0.633297
epoch 81/200,training loss:0.632625,validation loss:0.632936
epoch 82/200,training loss:0.632547,validation loss:0.632825
epoch 83/200,training loss:0.632514,validation loss:0.632897
epoch 84/200,training loss:0.632411,validation loss:0.632881
epoch 85/200,training loss:0.632499,validation loss:0.632906
epoch 86/200,training loss:0.632431,validation loss:0.632917
epoch 87/200,training loss:0.632194,validation loss:0.632670
epoch 88/200,training loss:0.632149,validation loss:0.632794
epoch 89/200,training loss:0.632249,validation loss:0.632832
epoch 90/200,training loss:0.632242,validation loss:0.632501
epoch 91/200,training loss:0.631985,validation loss:0.632760
epoch 92/200,training loss:0.632054,validation loss:0.632791
epoch 93/200,training loss:0.632100,validation loss:0.632632
epoch 94/200,training loss:0.631758,validation loss:0.632785
epoch 95/200,training loss:0.631865,validation loss:0.632506
epoch 96/200,training loss:0.631844,validation loss:0.632506
epoch 97/200,training loss:0.631843,validation loss:0.632559
epoch 98/200,training loss:0.631732,validation loss:0.632524
epoch 99/200,training loss:0.631870,validation loss:0.632363
epoch 100/200,training loss:0.631616,validation loss:0.632316
epoch 101/200,training loss:0.631674,validation loss:0.632568
epoch 102/200,training loss:0.631521,validation loss:0.632653
epoch 103/200,training loss:0.631538,validation loss:0.632144
epoch 104/200,training loss:0.631540,validation loss:0.632138
epoch 105/200,training loss:0.631485,validation loss:0.632352
epoch 106/200,training loss:0.631442,validation loss:0.631891
epoch 107/200,training loss:0.631441,validation loss:0.632287
epoch 108/200,training loss:0.631388,validation loss:0.632271
epoch 109/200,training loss:0.631388,validation loss:0.632289
epoch 110/200,training loss:0.631389,validation loss:0.632079
epoch 111/200,training loss:0.631153,validation loss:0.632163
epoch 112/200,training loss:0.631299,validation loss:0.631923
epoch 113/200,training loss:0.631285,validation loss:0.631900
epoch 114/200,training loss:0.631236,validation loss:0.631889
epoch 115/200,training loss:0.631236,validation loss:0.632065
epoch 116/200,training loss:0.631139,validation loss:0.631731
epoch 117/200,training loss:0.631121,validation loss:0.632011
epoch 118/200,training loss:0.631153,validation loss:0.631732
epoch 119/200,training loss:0.631042,validation loss:0.631915
epoch 120/200,training loss:0.631018,validation loss:0.632006
epoch 121/200,training loss:0.630912,validation loss:0.631850
epoch 122/200,training loss:0.630967,validation loss:0.631556
epoch 123/200,training loss:0.630951,validation loss:0.631658
epoch 124/200,training loss:0.630947,validation loss:0.631693
epoch 125/200,training loss:0.630881,validation loss:0.631808
epoch 126/200,training loss:0.630854,validation loss:0.631498
epoch 127/200,training loss:0.630954,validation loss:0.631541
epoch 128/200,training loss:0.630813,validation loss:0.631422
epoch 129/200,training loss:0.630712,validation loss:0.631480
epoch 130/200,training loss:0.630634,validation loss:0.631527
epoch 131/200,training loss:0.630539,validation loss:0.631641
epoch 132/200,training loss:0.630591,validation loss:0.631295
epoch 133/200,training loss:0.630616,validation loss:0.631508
epoch 134/200,training loss:0.630558,validation loss:0.631391
epoch 135/200,training loss:0.630447,validation loss:0.631444
epoch 136/200,training loss:0.630495,validation loss:0.631304
epoch 137/200,training loss:0.630481,validation loss:0.631365
epoch 138/200,training loss:0.630208,validation loss:0.631123
epoch 139/200,training loss:0.630280,validation loss:0.631106
epoch 140/200,training loss:0.630183,validation loss:0.631431
epoch 141/200,training loss:0.630184,validation loss:0.631235
epoch 142/200,training loss:0.630262,validation loss:0.631052
epoch 143/200,training loss:0.630243,validation loss:0.631099
epoch 144/200,training loss:0.630214,validation loss:0.630933
epoch 145/200,training loss:0.630351,validation loss:0.631027
epoch 146/200,training loss:0.630164,validation loss:0.631008
epoch 147/200,training loss:0.630156,validation loss:0.630969
epoch 148/200,training loss:0.630255,validation loss:0.630860
epoch 149/200,training loss:0.629986,validation loss:0.630959
epoch 150/200,training loss:0.630077,validation loss:0.630837
epoch 151/200,training loss:0.629818,validation loss:0.630759
epoch 152/200,training loss:0.629881,validation loss:0.630757
epoch 153/200,training loss:0.630001,validation loss:0.630826
epoch 154/200,training loss:0.629820,validation loss:0.630760
epoch 155/200,training loss:0.629757,validation loss:0.630667
epoch 156/200,training loss:0.629684,validation loss:0.630711
epoch 157/200,training loss:0.629775,validation loss:0.630838
epoch 158/200,training loss:0.629659,validation loss:0.630755
epoch 159/200,training loss:0.629585,validation loss:0.630562
epoch 160/200,training loss:0.629608,validation loss:0.630354
epoch 161/200,training loss:0.629613,validation loss:0.630612
epoch 162/200,training loss:0.629490,validation loss:0.630517
epoch 163/200,training loss:0.629591,validation loss:0.630453
epoch 164/200,training loss:0.629488,validation loss:0.630395
epoch 165/200,training loss:0.629482,validation loss:0.630432
epoch 166/200,training loss:0.629442,validation loss:0.630595
epoch 167/200,training loss:0.629489,validation loss:0.630275
epoch 168/200,training loss:0.629292,validation loss:0.630387
epoch 169/200,training loss:0.629360,validation loss:0.630533
epoch 170/200,training loss:0.629350,validation loss:0.630532
epoch 171/200,training loss:0.629152,validation loss:0.630431
epoch 172/200,training loss:0.629253,validation loss:0.630101
epoch 173/200,training loss:0.629225,validation loss:0.630175
epoch 174/200,training loss:0.629234,validation loss:0.630233
epoch 175/200,training loss:0.629189,validation loss:0.630319
epoch 176/200,training loss:0.629195,validation loss:0.630182
epoch 177/200,training loss:0.629119,validation loss:0.630154
epoch 178/200,training loss:0.629165,validation loss:0.630197
epoch 179/200,training loss:0.629098,validation loss:0.630126
epoch 180/200,training loss:0.628941,validation loss:0.630076
epoch 181/200,training loss:0.629127,validation loss:0.630093
epoch 182/200,training loss:0.628823,validation loss:0.630180
epoch 183/200,training loss:0.628938,validation loss:0.630025
epoch 184/200,training loss:0.628848,validation loss:0.630076
epoch 185/200,training loss:0.628805,validation loss:0.630031
epoch 186/200,training loss:0.628831,validation loss:0.629807
epoch 187/200,training loss:0.628688,validation loss:0.630013
epoch 188/200,training loss:0.628641,validation loss:0.629848
epoch 189/200,training loss:0.628746,validation loss:0.629869
epoch 190/200,training loss:0.628708,validation loss:0.629794
epoch 191/200,training loss:0.628594,validation loss:0.629909
epoch 192/200,training loss:0.628502,validation loss:0.629680
epoch 193/200,training loss:0.628508,validation loss:0.629603
epoch 194/200,training loss:0.628570,validation loss:0.629683
epoch 195/200,training loss:0.628602,validation loss:0.629536
epoch 196/200,training loss:0.628549,validation loss:0.629671
epoch 197/200,training loss:0.628479,validation loss:0.629317
epoch 198/200,training loss:0.628434,validation loss:0.629690
epoch 199/200,training loss:0.628299,validation loss:0.629537
Finished. Saving the model to /h/172/shawnlyu/projects/machine_learning/CSC2515Dota2DraftPredictionProject/algorithms/shawn/exp/fc_2.batch.pth
The best validation accuracy occurs at 0th epoch
