epoch 0/600,training loss:0.692542,validation loss:0.692365
epoch 1/600,training loss:0.692221,validation loss:0.692194
epoch 2/600,training loss:0.692063,validation loss:0.692043
epoch 3/600,training loss:0.691901,validation loss:0.691890
epoch 4/600,training loss:0.691746,validation loss:0.691732
epoch 5/600,training loss:0.691579,validation loss:0.691567
epoch 6/600,training loss:0.691410,validation loss:0.691393
epoch 7/600,training loss:0.691226,validation loss:0.691207
epoch 8/600,training loss:0.691028,validation loss:0.691005
epoch 9/600,training loss:0.690807,validation loss:0.690786
epoch 10/600,training loss:0.690578,validation loss:0.690545
epoch 11/600,training loss:0.690318,validation loss:0.690276
epoch 12/600,training loss:0.690026,validation loss:0.689975
epoch 13/600,training loss:0.689703,validation loss:0.689641
epoch 14/600,training loss:0.689334,validation loss:0.689258
epoch 15/600,training loss:0.688920,validation loss:0.688824
epoch 16/600,training loss:0.688446,validation loss:0.688335
epoch 17/600,training loss:0.687913,validation loss:0.687777
epoch 18/600,training loss:0.687305,validation loss:0.687141
epoch 19/600,training loss:0.686611,validation loss:0.686420
epoch 20/600,training loss:0.685825,validation loss:0.685600
epoch 21/600,training loss:0.684928,validation loss:0.684681
epoch 22/600,training loss:0.683937,validation loss:0.683652
epoch 23/600,training loss:0.682819,validation loss:0.682516
epoch 24/600,training loss:0.681607,validation loss:0.681276
epoch 25/600,training loss:0.680285,validation loss:0.679942
epoch 26/600,training loss:0.678878,validation loss:0.678545
epoch 27/600,training loss:0.677408,validation loss:0.677105
epoch 28/600,training loss:0.675923,validation loss:0.675660
epoch 29/600,training loss:0.674457,validation loss:0.674239
epoch 30/600,training loss:0.673006,validation loss:0.672888
epoch 31/600,training loss:0.671664,validation loss:0.671620
epoch 32/600,training loss:0.670412,validation loss:0.670449
epoch 33/600,training loss:0.669275,validation loss:0.669399
epoch 34/600,training loss:0.668221,validation loss:0.668436
epoch 35/600,training loss:0.667300,validation loss:0.667569
epoch 36/600,training loss:0.666468,validation loss:0.666797
epoch 37/600,training loss:0.665700,validation loss:0.666105
epoch 38/600,training loss:0.665001,validation loss:0.665475
