epoch 0/200,training accuracy:0.478369,validation accuracy:0.480480
epoch 1/200,training accuracy:0.504900,validation accuracy:0.519078
epoch 2/200,training accuracy:0.522704,validation accuracy:0.523039
epoch 3/200,training accuracy:0.525999,validation accuracy:0.525540
epoch 4/200,training accuracy:0.529441,validation accuracy:0.529079
epoch 5/200,training accuracy:0.533296,validation accuracy:0.533492
epoch 6/200,training accuracy:0.538606,validation accuracy:0.539695
epoch 7/200,training accuracy:0.543226,validation accuracy:0.544427
epoch 8/200,training accuracy:0.549266,validation accuracy:0.549510
epoch 9/200,training accuracy:0.555521,validation accuracy:0.554448
epoch 10/200,training accuracy:0.560536,validation accuracy:0.559535
epoch 11/200,training accuracy:0.565177,validation accuracy:0.564312
epoch 12/200,training accuracy:0.569358,validation accuracy:0.568204
epoch 13/200,training accuracy:0.573246,validation accuracy:0.571436
epoch 14/200,training accuracy:0.576220,validation accuracy:0.574592
epoch 15/200,training accuracy:0.579471,validation accuracy:0.577528
epoch 16/200,training accuracy:0.581907,validation accuracy:0.579861
epoch 17/200,training accuracy:0.583934,validation accuracy:0.581981
epoch 18/200,training accuracy:0.585892,validation accuracy:0.583879
epoch 19/200,training accuracy:0.587505,validation accuracy:0.585467
epoch 20/200,training accuracy:0.588717,validation accuracy:0.587624
epoch 21/200,training accuracy:0.590379,validation accuracy:0.588891
epoch 22/200,training accuracy:0.591752,validation accuracy:0.589865
epoch 23/200,training accuracy:0.592622,validation accuracy:0.590995
epoch 24/200,training accuracy:0.593865,validation accuracy:0.592251
epoch 25/200,training accuracy:0.594683,validation accuracy:0.593318
epoch 26/200,training accuracy:0.595845,validation accuracy:0.594286
epoch 27/200,training accuracy:0.596766,validation accuracy:0.595048
epoch 28/200,training accuracy:0.597279,validation accuracy:0.595971
epoch 29/200,training accuracy:0.598147,validation accuracy:0.596716
epoch 30/200,training accuracy:0.598797,validation accuracy:0.597253
epoch 31/200,training accuracy:0.599394,validation accuracy:0.597829
epoch 32/200,training accuracy:0.599890,validation accuracy:0.598483
epoch 33/200,training accuracy:0.600403,validation accuracy:0.599312
epoch 34/200,training accuracy:0.601022,validation accuracy:0.599763
epoch 35/200,training accuracy:0.601463,validation accuracy:0.600174
epoch 36/200,training accuracy:0.601748,validation accuracy:0.600655
epoch 37/200,training accuracy:0.602144,validation accuracy:0.601078
epoch 38/200,training accuracy:0.602356,validation accuracy:0.601418
epoch 39/200,training accuracy:0.602738,validation accuracy:0.602100
epoch 40/200,training accuracy:0.603000,validation accuracy:0.602050
epoch 41/200,training accuracy:0.603351,validation accuracy:0.602551
epoch 42/200,training accuracy:0.603628,validation accuracy:0.602783
epoch 43/200,training accuracy:0.603700,validation accuracy:0.602869
epoch 44/200,training accuracy:0.603991,validation accuracy:0.603286
epoch 45/200,training accuracy:0.603998,validation accuracy:0.603368
epoch 46/200,training accuracy:0.604246,validation accuracy:0.603751
epoch 47/200,training accuracy:0.604417,validation accuracy:0.603969
epoch 48/200,training accuracy:0.604586,validation accuracy:0.604139
epoch 49/200,training accuracy:0.604832,validation accuracy:0.604279
epoch 50/200,training accuracy:0.604970,validation accuracy:0.604419
epoch 51/200,training accuracy:0.605079,validation accuracy:0.604495
epoch 52/200,training accuracy:0.605302,validation accuracy:0.604722
epoch 53/200,training accuracy:0.605321,validation accuracy:0.604621
epoch 54/200,training accuracy:0.605367,validation accuracy:0.604697
epoch 55/200,training accuracy:0.605405,validation accuracy:0.604661
epoch 56/200,training accuracy:0.605517,validation accuracy:0.604760
epoch 57/200,training accuracy:0.605600,validation accuracy:0.604851
epoch 58/200,training accuracy:0.605618,validation accuracy:0.604948
epoch 59/200,training accuracy:0.605765,validation accuracy:0.605256
epoch 60/200,training accuracy:0.605837,validation accuracy:0.605289
epoch 61/200,training accuracy:0.606031,validation accuracy:0.605421
epoch 62/200,training accuracy:0.605838,validation accuracy:0.605511
epoch 63/200,training accuracy:0.606067,validation accuracy:0.605750
epoch 64/200,training accuracy:0.606004,validation accuracy:0.605973
epoch 65/200,training accuracy:0.606164,validation accuracy:0.605929
epoch 66/200,training accuracy:0.606131,validation accuracy:0.606223
epoch 67/200,training accuracy:0.606235,validation accuracy:0.606276
epoch 68/200,training accuracy:0.606439,validation accuracy:0.606171
epoch 69/200,training accuracy:0.606469,validation accuracy:0.606309
epoch 70/200,training accuracy:0.606565,validation accuracy:0.606330
epoch 71/200,training accuracy:0.606537,validation accuracy:0.606252
epoch 72/200,training accuracy:0.606581,validation accuracy:0.606401
epoch 73/200,training accuracy:0.606587,validation accuracy:0.606550
epoch 74/200,training accuracy:0.606650,validation accuracy:0.606532
epoch 75/200,training accuracy:0.606579,validation accuracy:0.606529
epoch 76/200,training accuracy:0.606597,validation accuracy:0.606637
epoch 77/200,training accuracy:0.606696,validation accuracy:0.606757
epoch 78/200,training accuracy:0.606816,validation accuracy:0.606813
epoch 79/200,training accuracy:0.606718,validation accuracy:0.606810
epoch 80/200,training accuracy:0.606772,validation accuracy:0.606827
epoch 81/200,training accuracy:0.606731,validation accuracy:0.606773
